No.,timestamp,src_ip,dst_ip,protocol,packet_len,info,label
1,0.0,127.0.0.1,127.0.0.1,TCP,52,"17532  >  57360 [PSH, ACK] Seq=1 Ack=1 Win=10138 Len=8",Normal
2,3.3e-05,127.0.0.1,127.0.0.1,TCP,44,57360  >  17532 [ACK] Seq=1 Ack=9 Win=10111 Len=0,Normal
3,4.2e-05,127.0.0.1,127.0.0.1,TCP,140,"17532  >  57360 [PSH, ACK] Seq=9 Ack=1 Win=10138 Len=96",Normal
4,4.7e-05,127.0.0.1,127.0.0.1,TCP,44,57360  >  17532 [ACK] Seq=1 Ack=105 Win=10110 Len=0,Normal
5,0.001861,127.0.0.1,127.0.0.1,TCP,52,"57360  >  17532 [PSH, ACK] Seq=1 Ack=105 Win=10110 Len=8",Normal
6,0.00188,127.0.0.1,127.0.0.1,TCP,44,17532  >  57360 [ACK] Seq=105 Ack=9 Win=10138 Len=0,Normal
7,0.001886,127.0.0.1,127.0.0.1,TCP,92,"57360  >  17532 [PSH, ACK] Seq=9 Ack=105 Win=10110 Len=48",Normal
8,0.001904,127.0.0.1,127.0.0.1,TCP,44,17532  >  57360 [ACK] Seq=105 Ack=57 Win=10138 Len=0,Normal
9,4.778571,127.0.0.1,127.0.0.1,TCP,56,57893  >  1042 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM,Normal
10,4.778625,127.0.0.1,127.0.0.1,TCP,56,"1042  >  57893 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM",Normal
11,4.778654,127.0.0.1,127.0.0.1,TCP,44,57893  >  1042 [ACK] Seq=1 Ack=1 Win=2619648 Len=0,Normal
12,4.801105,127.0.0.1,127.0.0.1,HTTP,334,"GET /alert?msg=<?xml%20version=""1.0""%20encoding=""UTF-8""%20standalone=""no""?><root><device_type%20key=""1""><device%20key=""6215""><cmd>001</cmd><col>16</col><row>0</row><state>1</state><profile_index>1</profile_index></device></device_type></root> HTTP/1.1 ",Normal
13,4.801152,127.0.0.1,127.0.0.1,TCP,44,1042  >  57893 [ACK] Seq=1 Ack=291 Win=2619648 Len=0,Normal
14,4.801615,127.0.0.1,127.0.0.1,TCP,265,"1042  >  57540 [PSH, ACK] Seq=1 Ack=1 Win=10232 Len=221",Normal
15,4.80164,127.0.0.1,127.0.0.1,TCP,44,57540  >  1042 [ACK] Seq=1 Ack=222 Win=10113 Len=0,Normal
16,4.801713,127.0.0.1,127.0.0.1,HTTP,1152,HTTP/1.1 200 OK ,Normal
17,4.801725,127.0.0.1,127.0.0.1,TCP,44,57893  >  1042 [ACK] Seq=291 Ack=1109 Win=2618624 Len=0,Normal
18,4.801835,127.0.0.1,127.0.0.1,TCP,44,"57893  >  1042 [FIN, ACK] Seq=291 Ack=1109 Win=2618624 Len=0",Normal
19,4.801849,127.0.0.1,127.0.0.1,TCP,44,1042  >  57893 [ACK] Seq=1109 Ack=292 Win=2619648 Len=0,Normal
20,4.801905,127.0.0.1,127.0.0.1,TCP,44,"1042  >  57893 [FIN, ACK] Seq=1109 Ack=292 Win=2619648 Len=0",Normal
21,4.801924,127.0.0.1,127.0.0.1,TCP,44,57893  >  1042 [ACK] Seq=292 Ack=1110 Win=2618624 Len=0,Normal
22,4.836425,127.0.0.1,127.0.0.1,TCP,56,57894  >  1042 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM,Normal
23,4.836475,127.0.0.1,127.0.0.1,TCP,56,"1042  >  57894 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM",Normal
24,4.836545,127.0.0.1,127.0.0.1,TCP,44,57894  >  1042 [ACK] Seq=1 Ack=1 Win=2619648 Len=0,Normal
25,4.848857,127.0.0.1,127.0.0.1,HTTP,334,"GET /alert?msg=<?xml%20version=""1.0""%20encoding=""UTF-8""%20standalone=""no""?><root><device_type%20key=""1""><device%20key=""6215""><cmd>001</cmd><col>16</col><row>0</row><state>0</state><profile_index>1</profile_index></device></device_type></root> HTTP/1.1 ",Normal
26,4.848884,127.0.0.1,127.0.0.1,TCP,44,1042  >  57894 [ACK] Seq=1 Ack=291 Win=2619648 Len=0,Normal
27,4.84928,127.0.0.1,127.0.0.1,TCP,265,"1042  >  57540 [PSH, ACK] Seq=222 Ack=1 Win=10232 Len=221",Normal
28,4.849321,127.0.0.1,127.0.0.1,TCP,44,57540  >  1042 [ACK] Seq=1 Ack=443 Win=10112 Len=0,Normal
29,4.849381,127.0.0.1,127.0.0.1,HTTP,1152,HTTP/1.1 200 OK ,Normal
30,4.849394,127.0.0.1,127.0.0.1,TCP,44,57894  >  1042 [ACK] Seq=291 Ack=1109 Win=2618624 Len=0,Normal
31,4.849457,127.0.0.1,127.0.0.1,TCP,44,"57894  >  1042 [FIN, ACK] Seq=291 Ack=1109 Win=2618624 Len=0",Normal
