No.,timestamp,src_ip,dst_ip,protocol,packet_len,info,label
208,17.133838,127.0.0.1,127.0.0.1,TCP,44,52412  >  5000 [RST] Seq=1 Win=0 Len=0,SYN_Flood
209,17.134644,127.0.0.1,127.0.0.1,TCP,44,7369  >  5000 [SYN] Seq=0 Win=8192 Len=0,SYN_Flood
210,17.134703,127.0.0.1,127.0.0.1,TCP,48,"5000  >  7369 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=65495",SYN_Flood
211,17.134807,127.0.0.1,127.0.0.1,TCP,44,7369  >  5000 [RST] Seq=1 Win=0 Len=0,SYN_Flood
212,17.135387,127.0.0.1,127.0.0.1,TCP,44,38675  >  5000 [SYN] Seq=0 Win=8192 Len=0,SYN_Flood
213,17.135431,127.0.0.1,127.0.0.1,TCP,48,"5000  >  38675 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=65495",SYN_Flood
214,17.135438,127.0.0.1,127.0.0.1,TCP,44,38675  >  5000 [RST] Seq=1 Win=0 Len=0,SYN_Flood
215,17.136147,127.0.0.1,127.0.0.1,TCP,44,18981  >  5000 [SYN] Seq=0 Win=8192 Len=0,SYN_Flood
216,17.136184,127.0.0.1,127.0.0.1,TCP,48,"5000  >  18981 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=65495",SYN_Flood
217,17.136191,127.0.0.1,127.0.0.1,TCP,44,18981  >  5000 [RST] Seq=1 Win=0 Len=0,SYN_Flood
218,17.13685,127.0.0.1,127.0.0.1,TCP,44,28681  >  5000 [SYN] Seq=0 Win=8192 Len=0,SYN_Flood
219,17.136891,127.0.0.1,127.0.0.1,TCP,48,"5000  >  28681 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=65495",SYN_Flood
220,17.136993,127.0.0.1,127.0.0.1,TCP,44,28681  >  5000 [RST] Seq=1 Win=0 Len=0,SYN_Flood
221,17.137617,127.0.0.1,127.0.0.1,TCP,44,62006  >  5000 [SYN] Seq=0 Win=8192 Len=0,SYN_Flood
222,17.137668,127.0.0.1,127.0.0.1,TCP,48,"5000  >  62006 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=65495",SYN_Flood
223,17.137713,127.0.0.1,127.0.0.1,TCP,44,62006  >  5000 [RST] Seq=1 Win=0 Len=0,SYN_Flood
224,17.138424,127.0.0.1,127.0.0.1,TCP,44,30121  >  5000 [SYN] Seq=0 Win=8192 Len=0,SYN_Flood
